chemical_entity_name	chemical_entity_smiles	taxon_name	reference_doi	chemical_qid	taxon_qid	reference_qid	create_chemical	create_reference	create_occurrence	occurrence_waiting_on_reference	issues
1 - bromo-octadecane	CCCCCCCCCCCCCCCCCCBr	vernonanthura patens	10.5772/28961	Q63395676		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
2 - bromo dodecane	CCCCCCCCCCC(C)Br	vernonanthura patens	10.5772/28961	Q82902547		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
squalene	CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C	vernonanthura patens	10.5772/28961	Q407560		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
heptadecane, 3-methyl-	CCCCCCCCCCCCCCC(C)CC	vernonanthura patens	10.5772/28961	Q67879600		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
hexadecane	CCCCCCCCCCCCCCCC	vernonanthura patens	10.5772/28961	Q150843		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
α-caryophyllene	C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C	vernonanthura patens	10.5772/28961	Q1995108		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
nonadecane	CCCCCCCCCCCCCCCCCCC	vernonanthura patens	10.5772/28961	Q150911		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
hentriacontane	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	vernonanthura patens	10.5772/28961	Q151082		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
1-iodo-hexadecane	CCCCCCCCCCCCCCCCI	vernonanthura patens	10.5772/28961	Q27281601		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
eicosane	CCCCCCCCCCCCCCCCCCCC	vernonanthura patens	10.5772/28961	Q150925		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
4-methyl-heptadecane	CCCCCCCCCCCCCC(C)CCC	vernonanthura patens	10.5772/28961	Q82100040		Q137215472	no	no	no	no	Taxon entity not found in Wikidata; taxonomic name resolution is not implemented.
