,organism_name,accepted_name_w_author,compound_name,InChIKey,SMILES,DOI
1,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,1 - bromo-octadecane,WSULSMOGMLRGKU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCBr,10.5772/28961
2,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,2 - bromo dodecane,GIUUCQVKMWBSRT-UHFFFAOYSA-N,CCCCCCCCCCC(C)Br,10.5772/28961
3,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,squalene,YYGNTYWPHWGJRM-AAJYLUCBSA-N,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,10.5772/28961
6,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,"heptadecane, 3-methyl-",HPDKJRSKBCPMIY-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(C)CC,10.5772/28961
7,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,hexadecane,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,10.5772/28961
13,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,α-caryophyllene,FAMPSKZZVDUYOS-HRGUGZIWSA-N,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,10.5772/28961
16,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,nonadecane,LQERIDTXQFOHKA-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCC,10.5772/28961
17,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,hentriacontane,IUJAMGNYPWYUPM-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,10.5772/28961
18,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,1-iodo-hexadecane,KMWHQYDMBYABKL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCI,10.5772/28961
19,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,eicosane,CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,10.5772/28961
26,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,4-methyl-heptadecane,YPPNOYRCEQRCHY-UHFFFAOYSA-N,CCCCCCCCCCCCCC(C)CCC,10.5772/28961
27,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,"5,14-dibutyl-octadecane",VZZCEMBCJSFMMD-UHFFFAOYSA-N,CCCCC(CCCC)CCCCCCCCC(CCCC)CCCC,10.5772/28961
28,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,9-octyl-heptadecane,ZLIOPNROBPMBFI-UHFFFAOYSA-N,CCCCCCCCC(CCCCCCCC)CCCCCCCC,10.5772/28961
30,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC,10.5772/28961
31,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,lupeol,MQYXUWHLBZFQQO-QGTGJCAVSA-N,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,10.5772/28961
32,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,"2,6,11-trimethyl-dodecane",FONXOARHSFUBAN-UHFFFAOYSA-N,CC(C)CCCCC(C)CCCC(C)C,10.5772/28961
33,vernonanthura patens (kunth) h. rob,Vernonanthura patens (Kunth) H.Rob.,heptadecane,NDJKXXJCMXVBJW-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC,10.5772/28961
35,montrichardia linifera,Montrichardia linifera (Arruda) Schott,p-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C1=CC(=CC=C1C=O)O,10.11144/javeriana.sc19-3.mlab
50,pavonia malacophylla (link & otto) garcke,Pavonia malacophylla (Link & Otto) Garcke,kaempferol 3-o-β-d-glucopyranoside,JPUKWEQWGBDDQB-QSOFNFLRSA-N,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,10.21577/0100-4042.20250134
52,pavonia malacophylla (link & otto) garcke,Pavonia malacophylla (Link & Otto) Garcke,"5,7-dihydroxy-3,8,4'-trimethoxyflavone",RXQVMRRNRHSOTC-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC)OC,10.21577/0100-4042.20250134
